nuts_code,country,region,nutrition_medical_care,water_sanitation,safety,basic_education,info_comm,health,env_quality,trust_gov,freedom_choice,inclusive_society,adv_education,gdp_per_capita_2022
DK04,DK,Midtjylland,72.16,100.0,69.07,86.23,89.18,89.42,86.0,90.36,68.14,90.42,57.16,42.84436493738819
DK05,DK,Nordjylland,56.7,99.63,83.73,86.23,86.7,86.67,87.18,87.1,64.13,88.97,53.43,35.95706618962433
EE00,EE,Eesti,77.32,96.88,63.79,100.0,72.78,74.43,77.44,59.34,54.35,41.7,43.46,16.547406082289804
EL30,EL,Attiki,64.95,94.1,73.17,33.47,46.22,52.72,62.44,43.94,43.05,40.19,31.74,15.831842576028622
EL41,EL,Voreio Aigaio,87.63,79.83,87.84,33.47,33.55,68.37,74.75,41.56,45.9,71.53,20.34,3.041144901610018
EL42,EL,Notio Aigaio,73.2,86.92,87.84,33.47,33.55,67.09,74.98,38.6,54.18,71.53,11.9,9.928443649373882
EL43,EL,Kriti,78.35,95.72,87.84,33.47,33.55,65.74,74.71,36.52,58.01,71.53,22.8,7.06618962432916
EL51,EL,"Anatoliki Makedonia, Thraki",26.8,86.02,83.99,33.47,36.92,59.92,65.61,30.02,33.26,45.81,15.22,4.740608228980322
EL52,EL,Kentriki Makedonia,61.86,91.29,83.99,33.47,36.92,61.21,63.91,37.73,38.81,45.81,20.52,6.171735241502684
EL53,EL,Dytiki Makedonia,75.26,94.1,83.99,33.47,36.92,65.39,69.75,39.71,34.82,45.81,14.89,8.050089445438283
EL54,EL,Ipeiros,58.76,84.54,83.99,33.47,37.03,68.98,73.52,44.26,39.43,45.81,22.15,4.47227191413238
EL61,EL,Thessalia,70.1,90.05,83.26,33.47,28.51,65.32,72.58,42.76,54.08,25.12,21.36,5.992844364937389
EL62,EL,Ionia Nisia,48.45,98.3,83.26,33.47,28.62,68.44,74.63,39.61,52.44,25.12,7.38,7.334525939177102
EL63,EL,Dytiki Elláda,64.95,86.38,83.26,33.47,28.62,65.86,71.46,41.88,56.53,25.12,19.07,5.098389982110913
EL64,EL,Sterea Elláda,72.16,71.25,83.26,33.47,28.62,67.2,75.63,43.43,49.53,25.12,7.29,11.180679785330948
EL65,EL,Peloponnisos,56.7,82.99,83.26,33.47,28.62,66.56,72.78,41.41,57.3,25.12,9.98,7.8711985688729875
ES11,ES,Galicia,76.29,92.47,67.14,60.9,66.95,80.72,84.98,61.11,61.22,91.2,39.01,15.652951699463328
ES12,ES,Principado de Asturias,76.29,53.95,67.14,60.9,67.84,77.41,75.36,58.64,56.79,91.2,39.84,15.474060822898032
ES13,ES,Cantabria,49.48,18.26,67.14,60.9,67.71,78.17,77.19,60.19,57.42,91.2,42.33,15.921288014311273
ES21,ES,País Vasco,74.23,73.7,73.87,60.9,70.67,80.01,79.86,61.44,54.26,87.36,52.72,24.59749552772809
ES22,ES,Comunidad Foral de Navarra,70.1,43.52,73.87,60.9,69.85,84.44,60.97,59.86,53.65,87.36,48.51,22.719141323792485
ES23,ES,La Rioja,48.45,85.31,73.87,60.9,70.94,83.64,77.23,59.24,54.53,87.36,36.36,18.962432915921287
ES24,ES,Aragón,80.41,66.0,73.87,60.9,71.6,81.81,65.63,57.9,54.01,87.36,40.91,20.304114490161
ES30,ES,Comunidad de Madrid,74.23,98.4,51.14,60.9,71.91,81.83,52.12,59.65,52.73,92.81,50.03,26.923076923076923
ES41,ES,Castilla y León,76.29,88.53,52.3,60.9,68.81,82.7,61.89,47.97,55.29,84.45,35.81,16.63685152057245
ES42,ES,Castilla-La Mancha,69.07,75.26,52.3,60.9,67.51,80.86,68.34,55.41,50.51,84.45,26.1,12.701252236135955
ES43,ES,Extremadura,84.54,88.51,52.3,60.9,68.83,82.49,57.57,53.03,50.32,84.45,29.73,11.538461538461538
ES51,ES,Cataluña,78.35,56.62,74.89,60.9,70.67,77.05,73.06,54.36,50.56,85.51,42.1,21.64579606440072
